id,name,discount,price,rating,release,ends,start
2250600,Disgaea 7: Vows of the Virtueless,"-0,25","44,99","0,7921",Oct 2023,1731088800,1729875789
436670,The Legend of Heroes: Trails in the Sky the 3rd,"-0,25","22,49","0,897",May 2017,1732039200,1730829695
2230110,Fae Farm,"-0,25","22,49","0,7836",Sep 2023,1731348000,1730744676
821250,Flotsam,"-0,25","18,74","0,7399",Sep 2019,1731952800,1730744543
1121640,The Wandering Village,"-0,25","18,74","0,876",Sep 2022,1731952800,1730744575
1372150,Fish Game,"-0,25","18,74","0,8719",Oct 2023,1731348000,1730744600
1223810,Full Service,"-0,25","29,99","0,8983",Mar 2020,1731078000,1730473502
1277400,Monster Hunter Stories 2: Wings of Ruin,"-0,25","29,99","0,8056",Jul 2021,1732212000,1731002520
1548850,Six Days in Fallujah,"-0,25","29,99","0,8215",Jun 2023,1731952800,1730999702
1668520,The Legend of Heroes: Trails to Azure,"-0,25","29,99","0,9153",Mar 2023,1731088800,1729875759
646200,Dead Effect 2 VR,"-0,25","23,94","0,7688",Oct 2017,0,1730916101
1768640,Leap of Faith,"-0,25","8,24","0,9175",Feb 2022,1731099600,1730495102
2140850,Looper Tactics,"-0,25","8,24","0,839",Aug 2023,1731348000,1730744668
1281160,Castle in The Clouds DX,"-0,25","9,74","0,8689",Oct 2021,1731348000,1730744592
2194730,ServiceIT: You can do IT,"-0,25","9,74","0,644",Mar 2024,1731520800,1730307786
2923390,Clothing Store Simulator,"-0,25","9,74","0,8763",Jun 2024,1732125600,1730908803
747200,Keplerth,"-0,25","11,24","0,8221",May 2022,1731434400,1730822702
824720,Pure Rock Crawling,"-0,25","11,24","0,8072",Oct 2024,1731348000,1730138707
1634860,Minishoot' Adventures,"-0,25","11,24","0,9396",Apr 2024,1731607200,1731002534
1831830,Chessarama,"-0,25","11,24","0,8455",Dec 2023,1732125600,1731002545
2102760,OVER‧DeviL: Legend of the sacred stone,"-0,25","11,24","0,7444",Oct 2023,1732212000,1730999103
2206270,Vampire Hunters,"-0,25","11,24","0,8486",Oct 2024,1731520800,1730307787
2259210,Mega City Force,"-0,25","11,24","0,7384",Jul 2023,1731520800,1730912704
2330870,CD 2: Trap Master,"-0,25","11,24","0,7601",Mar 2024,1732039200,1730829786
2494450,The Last Soldier of the Ming Dynasty,"-0,25","11,24","0,7725",Dec 2023,1731348000,1730744697
